No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,CAPACIDAD DE USUARIOS PERMITIDOS,UBICACIÓN,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS
113,513,UNE,RISARALDA,PEREIRA,SAN JOAQUIN,SALAMANCA,PARQUEADERO PRINCIPAL SALAMANCA,2,1000,(4.791011 -75.747239),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
114,513,UNE,RISARALDA,PEREIRA,SAN NICOLAS,SAN NICOLAS,PARQUE LA DULCERA,2,1000,(4.806011 -75.703483),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
115,513,UNE,RISARALDA,PEREIRA,SAN NICOLAS,SAN NICOLAS,COLEGIO SAN NICOLAS,2,1000,(4.808771 -75.704464),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
116,513,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,ZW_YARUMAL,VIA VDA. LA LOTERIA,1,500,(4.723071 -75.679323),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
117,513,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,CENTRO POBLADO GUACARY,CENTRO POBLADO GUACARY,2,1000,(4.747214 -75.664684),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
118,413,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,TRIBUNAS CORCEGA,YARUMITO,1,500,(4.767543 -75.684444),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
119,3829,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,VILLA AMPARO,VILLA AMPARO,1,500,(4.753194-75.673667),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
120,789,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,GUACARY,GUACARY CANTAMONOS,2,1000,(4.75273-75.663768),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
121,513,UNE,RISARALDA,PEREIRA,TRIBUNAS CORCEGA,LAGUNETA,ESCUELA VEREDA LAGUNETA,1,500,(4.729417 -75.636588),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
122,513,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,EL BOSQUE,EL BOSQUE CLL 5,2,1000,(4.791549 -75.685605),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
123,1208,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,LA JULITA,UTP- LA JULITA,3,1500,(4.798950 -75.686046),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
124,513,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,PROVIDENCIA,IGLESIA PROVIDENCIA,2,1000,(4.803361 -75.697649),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
125,513,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,TERMINAL DE TRANSPORTES,TERMINAL DE TRANSPORTES NIVEL II,2,1000,(4.801966 -75.693472),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
126,513,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,TRAVESURAS,TRAVESURAS CLL 16,2,1000,(4.804055 -75.692441),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
127,1208,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,UNIVERSIDAD TECNOLOGICA PEREIRA,UTP-CANCHAS SINTETICAS,3,1500,(4.793301 -75.689716),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
128,1208,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,UNIVERSIDAD TECNOLOGICA PEREIRA,UTP-CANCHA DE FUTBOL,2,1000,(4.796952 -75.687150),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
129,1208,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,UNIVERSIDAD TECNOLOGICA PEREIRA,UTP-MEDIA TORTA,3,1500,(4.794524 -75.688257),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
130,1208,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,UNIVERSIDAD TECNOLOGICA PEREIRA,UTP-MODULO DE VENTAS,3,1500,(4.792546 -75.689748),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
131,3829,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,PARQUE LOS ESTUDIANTES,ALAMOS VIA UTP,2,1000,(4.794744-75.691693),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
132,3829,UNE,RISARALDA,PEREIRA,UNIVERSIDAD,PRESTO,CRA 13 # 7 - 82 ESQUINA DE PRESTO,2,1000,(4.806975 -75.685309),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
133,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,EL REMANSO,EL REMANSO,2,1000,(4.789157 -75.674362),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
134,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,GUAYABAL_REMANSO,MANZANA 110 CASA 1 CARRERA 35 BARRIO REMANSO-GUAYABAL-PEREIRA,2,1000,(4.785812 -75.665256),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
135,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,INTERMEDIO,INTERMEDIO (VILLA SANTANA),2,1000,(4.799458 -75.667187),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
136,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,LAS BRISAS,LAS BRISAS MZ 25,2,1000,(4.792551 -75.679114),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
137,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,LAS BRISAS,CANCHAS DE LAS BRISAS,2,1000,(4.793176 -75.667906),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
138,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,MINAS_CANCELES,UNNAMED ROAD,2,1000,(4.796400 -75.674500),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
139,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,MONSERRATE,BARRIO MONSERRATE,2,1000,(4.802890 -75.668444),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
140,513,UNE,RISARALDA,PEREIRA,VILLA SANTANA,TOKIO,HOGAR COMUNITARIO TOKIO,2,1000,(4.792509 -75.679082),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
141,3829,UNE,RISARALDA,PEREIRA,VILLA SANTANA,SAN VICENTE,SAN VICENTE,2,1000,(4.874083-75.736639),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
142,789,UNE,RISARALDA,PEREIRA,VILLA SANTANA,TOKIO RADIO,TOKIO,2,1000,(4.793895-75.675549),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
143,513,UNE,RISARALDA,PEREIRA,VILLAVICENCIO,COROCITO,CAI DE COROSITO(BERLIN),2,1000,(4.809206 -75.684457),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
144,513,UNE,RISARALDA,PEREIRA,VILLAVICENCIO,PARQUE DE BERLIN,CRA 10   CLL 2   PEREIRA,2,1000,(4.810497 -75.680220),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
